Actual,Predicted
544000.0,366445.13361791364
0.0,389799.3467061299
1712500.0,1024020.7668002048
365000.0,550947.3204074521
275000.0,416476.1536037121
625000.0,693729.7109193783
453000.0,481765.8065531953
300000.0,489221.4780720239
417985.714286,485934.31587370083
672500.0,497140.24644067924
525000.0,750245.0433108485
500000.0,419771.25918286125
590000.0,794385.2522393812
305000.0,483110.2505252043
210000.0,409811.8172160915
915000.0,832628.9633611729
675000.0,629871.301706806
630000.0,708226.0159107524
1690000.0,1045470.0351789871
883000.0,931855.7354676677
1700000.0,1045124.2641816402
612500.0,668516.3671436771
615000.0,602718.4519308635
590000.0,466809.6169380673
301500.0,252932.00150446763
87500.0,220748.66576651623
746000.0,691417.1200602849
950100.0,788980.120738694
415000.0,370684.2844487145
775000.0,889329.1835069109
3200000.0,1626555.8687185356
253000.0,337066.4927477795
1415000.0,1186530.165705299
312891.0,489703.94540252985
252000.0,201617.54237873727
325000.0,421587.0148784773
455000.0,845009.7735735856
540000.0,824702.2516116914
215000.0,284693.87474399037
653000.0,598968.1928827139
306000.0,428077.7517362944
435000.0,361790.9447408296
335000.0,454236.65969232796
610000.0,423330.33864216314
245000.0,296871.16442412575
365000.0,310878.57763284864
260000.0,477137.4126089359
615000.0,439938.18848375586
1250000.0,728315.6495073976
835000.0,324221.84798287024
490000.0,1264397.507055275
482000.0,359893.3919280194
530000.0,460720.9720979997
550000.0,660600.8110010945
170000.0,361218.4654193492
615000.0,358021.3152120006
1195000.0,1003835.5197375964
589950.0,831265.1489084845
780000.0,989828.1065288733
332000.0,363247.9834105651
850000.0,546199.9073133206
700000.0,867535.7483339496
230000.0,186645.19450900273
966000.0,898833.005794965
766950.0,794874.1440220324
354000.0,626494.1275175083
339000.0,588905.6602788698
720000.0,587273.3705330843
349950.0,454850.0413434675
246950.0,397837.1342246571
0.0,1044242.9170594579
342500.0,521961.1348768492
292600.0,369709.7131094848
736500.0,1021679.1687822142
1180500.0,392607.25380002
886000.0,642133.8304720169
860000.0,425933.98750110564
569000.0,561006.6407852232
235000.0,527557.6757081929
358000.0,289351.27584714716
568500.0,592876.3358165734
439000.0,322566.97553033277
921000.0,512096.43605580716
875000.0,875826.0826327761
325000.0,443033.9413514224
206000.0,318311.66644492536
409316.0,461695.5434372294
452500.0,615381.4211675774
919204.0,947805.8669027046
240000.0,336289.75519135187
585000.0,955392.3617867492
280000.0,313216.9634247666
0.0,401867.2539146116
389000.0,484564.0769688672
775950.0,735751.9505455471
1384000.0,1302888.8040608035
690000.0,721744.537336824
445000.0,534702.9187464932
280000.0,499060.38196024124
562000.0,456555.6750035668
680000.0,554141.2583887279
560000.0,371248.7786382231
280000.0,175928.15572467563
431500.0,480447.15751401085
615000.0,532192.4941045977
840000.0,970217.7280366614
450000.0,677128.1529123653
372220.0,309907.2185196916
520000.0,646593.3977923717
515000.0,651707.4712932096
542500.0,556457.0614738939
790000.0,594431.3298581096
206000.0,361787.7325147569
405000.0,355219.8325702561
575000.0,1001500.3461717509
